revenue_rnk,rating_rank,product_id,recent_month_sale,cumulative_sale,total_sales,price,rating,ratings_total,rating_weighted_score,revenue,rating_range_id,price_range_id,availability_id,condition_id,is_new,is_fba,is_free_shipping,is_prime,cumulative_sale_percentage,top_selling_categories
329,612,403,0,107600,107600,269.0,3.7,52.0,14.690080080142852,0.0,3,3,1,3.0,1,0,1,0,1.0,Trivial Many
330,614,406,0,107600,107600,286.12,3.7,52.0,14.690080080142852,0.0,3,3,1,3.0,1,0,1,0,1.0,Trivial Many
331,618,410,0,107600,107600,304.78,3.7,52.0,14.690080080142852,0.0,3,4,1,3.0,1,0,1,0,1.0,Trivial Many
332,630,926,0,107600,107600,899.99,3.9,40.0,14.4829310601468,0.0,3,5,1,1.0,1,0,1,0,1.0,Trivial Many
333,637,865,0,107600,107600,599.99,4.2,28.0,14.142642485943192,0.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
334,657,950,0,107600,107600,1099.99,4.2,22.0,13.16907570690243,0.0,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
335,96,120,0,107600,107600,459.0,4.2,2839.0,33.39654919085206,0.0,2,4,1,3.0,1,0,1,0,1.0,Trivial Many
336,249,164,0,107600,107600,1100.0,4.0,1137.0,28.148110458745105,0.0,2,6,1,4.0,1,0,0,0,1.0,Trivial Many
337,169,729,0,107600,107600,273.0,4.2,1607.0,31.00753508890343,0.0,2,3,1,1.0,1,0,1,0,1.0,Trivial Many
338,164,739,0,107600,107600,299.0,4.2,1607.0,31.00753508890343,0.0,2,3,1,1.0,1,1,1,1,1.0,Trivial Many
339,64,43,0,107600,107600,259.99,4.3,3357.0,34.91213360184119,0.0,2,3,1,3.0,1,0,1,0,1.0,Trivial Many
340,76,79,0,107600,107600,509.95,4.4,2502.0,34.43107928229981,0.0,2,5,1,3.0,1,0,1,0,1.0,Trivial Many
341,280,239,0,107600,107600,382.35,4.4,455.0,26.938968361863303,0.0,2,4,1,5.0,1,1,1,1,1.0,Trivial Many
342,324,497,0,107600,107600,639.95,4.6,276.0,25.870480528461755,0.0,1,5,1,3.0,1,0,1,0,1.0,Trivial Many
343,338,482,0,107600,107600,479.0,4.6,276.0,25.870480528461755,0.0,1,4,1,3.0,1,0,1,0,1.0,Trivial Many
344,340,500,0,107600,107600,549.0,4.6,276.0,25.870480528461755,0.0,1,5,1,3.0,1,0,1,0,1.0,Trivial Many
345,344,654,0,107600,107600,614.99,4.6,276.0,25.870480528461755,0.0,1,5,1,5.0,1,0,1,0,1.0,Trivial Many
346,360,270,0,107600,107600,319.85,4.2,425.0,25.428645254331357,0.0,2,4,1,3.0,1,0,1,0,1.0,Trivial Many
347,372,318,0,107600,107600,279.99,4.1,449.0,25.047915089333898,0.0,2,3,1,3.0,1,0,1,0,1.0,Trivial Many
348,189,843,0,107600,107600,369.0,4.1,1496.0,29.975995376120476,0.0,2,4,1,1.0,1,0,1,0,1.0,Trivial Many
349,214,848,0,107600,107600,389.0,4.2,1020.0,29.099858836291595,0.0,2,4,1,1.0,1,0,1,0,1.0,Trivial Many
350,708,939,0,107600,107600,1569.99,5.0,4.0,8.047189562170502,0.0,1,6,1,1.0,1,0,1,0,1.0,Trivial Many
351,256,389,0,107600,107600,609.95,4.0,1137.0,28.148110458745105,0.0,2,5,1,3.0,1,0,1,0,1.0,Trivial Many
352,268,297,0,107600,107600,799.0,4.3,527.0,26.957114019936924,0.0,2,5,1,4.0,1,0,0,0,1.0,Trivial Many
353,473,307,0,107600,107600,319.29,4.2,166.0,21.495574012150374,0.0,2,4,1,3.0,1,1,1,0,1.0,Trivial Many
354,499,579,0,107600,107600,839.0,4.4,103.0,20.435319956222042,0.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
355,516,891,0,107600,107600,649.99,4.7,67.0,19.831686214327704,0.0,1,5,1,1.0,1,0,1,0,1.0,Trivial Many
356,166,737,0,107600,107600,299.0,4.2,1607.0,31.00753508890343,0.0,2,3,1,1.0,1,0,1,0,1.0,Trivial Many
357,528,852,0,107600,107600,899.99,4.4,66.0,18.50064752532025,0.0,2,5,1,1.0,1,1,1,1,1.0,Trivial Many
358,553,787,0,107600,107600,1399.0,4.1,72.0,17.5908837087084,0.0,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
359,558,807,0,107600,107600,769.99,4.2,57.0,17.05386064429496,0.0,2,5,1,1.0,1,0,1,0,1.0,Trivial Many
360,663,215,0,107600,107600,1989.0,4.1,21.0,12.673274058769096,0.0,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
361,691,914,0,107600,107600,899.99,3.7,14.0,10.019785744078177,0.0,3,5,1,1.0,1,0,1,0,1.0,Trivial Many
362,705,817,0,107600,107600,2299.99,4.6,6.0,8.95118668565444,0.0,1,6,1,1.0,1,0,1,0,1.0,Trivial Many
95,127,25,300,87900,107600,299.0,3.9,3243.0,31.529793419417686,89700.0,3,3,1,3.0,0,1,1,1,0.816914,Trivial Many
96,35,417,400,82200,107600,222.19,4.4,4053.0,36.552821038852564,88876.0,2,3,1,1.0,1,1,1,1,0.763941,Vital Few
97,525,245,200,94300,107600,439.99,4.3,83.0,19.052512235026246,87998.0,2,4,1,3.0,1,1,1,0,0.876394,Trivial Many
98,34,123,500,79000,107600,168.96,4.4,4053.0,36.552821038852564,84480.0,2,2,1,1.0,1,1,1,1,0.734201,Vital Few
99,129,30,300,87900,107600,279.12,3.9,3243.0,31.529793419417686,83736.0,3,3,1,3.0,1,0,1,0,0.816914,Trivial Many
100,405,792,200,94300,107600,409.99,4.6,167.0,23.57023430525499,81998.0,1,4,1,5.0,1,0,1,0,0.876394,Trivial Many
101,18,21,500,79000,107600,162.99,4.3,12152.0,40.442924727044435,81495.0,2,2,1,4.0,1,0,1,0,0.734201,Vital Few
102,484,541,50,107600,107600,1624.99,4.2,156.0,21.236232382462894,81249.5,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
103,20,284,2000,46000,107600,39.99,4.6,6212.0,40.17823609029299,79980.0,1,1,1,1.0,1,1,1,1,0.427509,Vital Few
104,529,519,100,101400,107600,789.99,4.4,66.0,18.50064752532025,78999.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
105,27,650,100,101400,107600,779.73,4.8,3577.0,39.27628446752959,77973.0,1,5,1,1.0,1,1,1,1,0.942379,Trivial Many
106,243,89,200,94300,107600,369.16,3.8,1699.0,28.265857414168366,73832.0,3,4,1,3.0,1,0,1,0,0.876394,Trivial Many
107,220,353,200,94300,107600,369.0,4.2,1020.0,29.099858836291595,73800.0,2,4,1,1.0,1,0,1,0,0.876394,Trivial Many
108,518,801,100,101400,107600,699.99,4.7,67.0,19.831686214327704,69999.0,1,5,1,1.0,1,0,1,0,0.942379,Trivial Many
109,265,230,500,79000,107600,139.69,4.3,529.0,26.973371128148518,69845.0,2,2,1,5.0,1,0,1,0,0.734201,Vital Few
110,454,758,50,107600,107600,1379.99,3.6,548.0,22.70915438943431,68999.5,3,6,1,1.0,1,1,1,1,1.0,Trivial Many
111,19,20,500,79000,107600,136.0,4.3,12152.0,40.442924727044435,68000.0,2,2,1,4.0,1,0,1,0,0.734201,Vital Few
112,300,266,100,101400,107600,669.95,4.3,520.0,26.899725179539477,66995.0,2,5,1,3.0,1,0,1,0,0.942379,Trivial Many
113,589,818,100,101400,107600,664.99,4.0,44.0,15.226649959081278,66499.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
114,144,185,200,94300,107600,329.85,4.3,1394.0,31.1347936852985,65970.0,2,4,1,3.0,1,0,1,0,0.876394,Trivial Many
115,138,115,1000,63000,107600,64.99,4.2,1802.0,31.488270337453937,64989.99999999999,2,1,1,3.0,1,0,1,0,0.585502,Vital Few
116,242,465,100,101400,107600,639.99,4.4,641.0,28.44418853623583,63999.0,2,5,1,1.0,1,0,1,0,0.942379,Trivial Many
117,393,260,100,101400,107600,639.99,3.7,722.0,24.35861412198743,63999.0,3,5,1,1.0,1,1,1,1,0.942379,Trivial Many
118,506,777,100,101400,107600,629.99,4.4,100.0,20.306530274101544,62999.0,2,5,1,1.0,1,0,1,0,0.942379,Trivial Many
119,481,633,50,107600,107600,1249.99,4.2,156.0,21.236232382462894,62499.5,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
120,116,23,500,79000,107600,124.99,4.0,3521.0,32.667137156224605,62495.0,2,2,1,3.0,1,0,1,0,0.734201,Vital Few
121,311,943,100,101400,107600,619.99,4.5,345.0,26.308974487759762,61999.0,1,5,1,1.0,1,0,1,0,0.942379,Trivial Many
122,363,276,50,107600,107600,1239.57,4.5,270.0,25.209534693958656,61978.5,1,6,1,1.0,1,0,0,0,1.0,Trivial Many
123,365,473,100,101400,107600,618.99,4.1,458.0,25.129105861248235,61899.0,2,5,1,1.0,1,0,1,0,0.942379,Trivial Many
124,145,186,200,94300,107600,309.0,4.3,1394.0,31.1347936852985,61800.0,2,4,1,3.0,1,0,1,0,0.876394,Trivial Many
125,505,507,100,101400,107600,606.99,4.4,100.0,20.306530274101544,60699.0,2,5,1,1.0,1,0,1,0,0.942379,Trivial Many
126,548,733,100,101400,107600,598.49,4.0,82.0,17.675362431186393,59849.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
127,239,99,1000,63000,107600,58.91,4.1,1088.0,28.671362004025134,58910.0,2,1,1,3.0,1,0,1,0,0.585502,Vital Few
128,673,653,100,101400,107600,588.99,4.0,16.0,11.332853376224865,58899.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
129,511,178,200,94300,107600,291.85,4.0,153.0,20.147810409654518,58370.00000000001,2,3,1,3.0,1,1,1,0,0.876394,Trivial Many
130,489,850,50,107600,107600,1159.99,4.4,121.0,21.13769259682633,57999.5,2,6,1,1.0,1,1,1,1,1.0,Trivial Many
131,51,101,200,94300,107600,289.0,4.2,4912.0,35.69848813510832,57800.0,2,3,1,3.0,1,0,1,0,0.876394,Trivial Many
132,602,669,50,107600,107600,1150.0,4.1,37.0,14.91410325487818,57500.0,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
133,556,760,100,101400,107600,567.98,4.4,51.0,17.385472361758282,56798.0,2,5,1,1.0,1,0,1,0,0.942379,Trivial Many
134,58,104,200,94300,107600,279.0,4.2,4912.0,35.69848813510832,55800.0,2,3,1,3.0,1,0,1,0,0.876394,Trivial Many
135,274,129,100,101400,107600,554.99,4.3,527.0,26.957114019936924,55499.0,2,5,1,3.0,1,0,1,0,0.942379,Trivial Many
136,550,590,50,107600,107600,1099.99,4.4,54.0,17.632266015022875,54999.5,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
137,521,631,100,101400,107600,549.99,4.3,95.0,19.626697223311695,54999.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
138,98,160,100,101400,107600,549.0,4.2,2839.0,33.39654919085206,54900.0,2,5,1,3.0,1,0,1,0,0.942379,Trivial Many
139,253,162,50,107600,107600,1089.0,4.0,1137.0,28.148110458745105,54450.0,2,6,1,,1,0,0,0,1.0,Trivial Many
140,671,888,50,107600,107600,1069.98,3.8,22.0,11.914878020530768,53499.0,3,6,1,1.0,1,0,1,0,1.0,Trivial Many
141,212,546,100,101400,107600,529.99,4.3,882.0,29.168298362597024,52999.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
142,687,672,50,107600,107600,1049.99,4.1,11.0,10.1881172641308,52499.5,2,6,1,1.0,1,0,1,0,1.0,Trivial Many
143,204,531,50,107600,107600,1049.99,4.5,713.0,29.568973330528127,52499.5,1,6,1,1.0,1,0,1,0,1.0,Trivial Many
144,549,555,100,101400,107600,522.49,4.0,82.0,17.675362431186393,52249.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
145,394,154,300,87900,107600,171.74,4.2,321.0,24.253116491286516,51522.0,2,2,1,3.0,1,0,1,0,0.816914,Trivial Many
146,381,612,100,101400,107600,507.99,4.5,244.0,24.755661947451273,50799.0,1,5,1,1.0,1,0,1,0,0.942379,Trivial Many
147,230,428,100,101400,107600,505.0,4.2,984.0,28.949094892922776,50500.0,2,5,1,1.0,1,0,1,0,0.942379,Trivial Many
148,530,442,100,101400,107600,503.49,4.0,100.0,18.46048206736504,50349.0,2,5,1,1.0,1,1,1,1,0.942379,Trivial Many
149,655,878,100,101400,107600,499.99,4.6,17.0,13.295710086322355,49999.0,1,4,1,1.0,1,0,1,0,0.942379,Trivial Many
