product_id,sale,revenue,price,date,month,year,monthly_sale_share_pct,monthly_revenue_share_pct,yearly_sale_share_pct,yearly_revenue_share_pct
524,1000,309000.0,309.0,2025-08-06,8,2025,0.003268,0.002720703896,0.000203,0.000183817608
760,100,59900.0,599.0,2025-11-16,11,2025,0.000239,0.000316404044,2e-05,3.5633252e-05
808,7000,2093000.0,299.0,2025-10-08,10,2025,0.016033,0.013307252898,0.001419,0.001245081726
115,1400,79800.0,57.0,2025-04-14,4,2025,0.00384,0.000872093023,0.000284,4.7471343e-05
115,2000,110500.0,55.25,2025-08-02,8,2025,0.006536,0.000972937801,0.000406,6.5734128e-05
134,100,4900.0,49.0,2025-07-29,7,2025,0.000193,2.6664715e-05,2e-05,2.914907e-06
134,1000,75000.0,75.0,2025-11-29,11,2025,0.002387,0.000396165331,0.000203,4.4615924e-05
564,50,179950.0,3599.0,2025-08-11,8,2025,0.000163,0.001584435813,1e-05,0.000107048474
566,300,929700.0,3099.0,2025-08-12,8,2025,0.00098,0.00818588483,6.1e-05,0.000553058997
561,1500,3358500.0,2239.0,2025-12-02,12,2025,0.001962,0.011688311011,0.000304,0.001997901088
565,50,168050.0,3361.0,2025-02-07,2,2025,0.000215,0.002025802003,1e-05,9.9969414e-05
569,900,2249100.0,2499.0,2025-11-30,11,2025,0.002149,0.011880205943,0.000183,0.001337942337
160,50,28450.0,569.0,2025-11-26,11,2025,0.000119,0.000150278716,1e-05,1.6924307e-05
117,100,49300.0,493.0,2025-10-13,10,2025,0.000229,0.000313448432,2e-05,2.9327534e-05
107,1200,603200.0004,502.666667,2025-02-20,2,2025,0.005158,0.007271429747,0.000243,0.000358831007
427,6000,3144000.0,524.0,2025-07-14,7,2025,0.011587,0.017108951753,0.001217,0.001870299545
427,6000,3168000.0,528.0,2025-07-18,7,2025,0.011587,0.017239554438,0.001217,0.001884576641
427,2000,1048000.0,524.0,2025-08-18,8,2025,0.006536,0.009227500593,0.000406,0.000623433182
427,9000,4716000.0,524.0,2025-08-22,8,2025,0.029412,0.041523752669,0.001825,0.002805449318
427,1500,855000.0,570.0,2025-11-25,11,2025,0.003581,0.004516284772,0.000304,0.000508621537
427,3000,1705500.0,568.5,2025-11-26,11,2025,0.007162,0.009008799624,0.000608,0.001014566118
35,900,562500.0,625.0,2025-04-26,4,2025,0.002468,0.00614727225,0.000183,0.000334619432
35,700,430500.0,615.0,2025-05-10,5,2025,0.002271,0.004167229315,0.000142,0.000256095405
35,100,57900.0,579.0,2025-10-04,10,2025,0.000229,0.000368127063,2e-05,3.4443494e-05
428,100,47100.0,471.0,2024-12-20,12,2024,0.000191,0.000296743196,0.000191,0.000296743196
428,100,47100.0,471.0,2024-12-26,12,2024,0.000191,0.000296743196,0.000191,0.000296743196
277,30000,4905000.0,163.5,2025-12-01,12,2025,0.039246,0.017070467622,0.006083,0.002917881447
277,30000,5130000.0,171.0,2025-12-03,12,2025,0.039246,0.017853516595,0.006083,0.003051729219
156,700,340900.0,487.0,2025-07-28,7,2025,0.001352,0.001855102307,0.000142,0.000202794248
156,100,52000.0,520.0,2025-10-18,10,2025,0.000229,0.000330614979,2e-05,3.0933707e-05
463,1500,840000.0,560.0,2025-06-05,6,2025,0.006304,0.011445802418,0.000304,0.000499698352
465,300,158850.0,529.5,2025-08-27,8,2025,0.00098,0.001398653119,6.1e-05,9.4496528e-05
6,3000,540000.0,180.0,2025-04-26,4,2025,0.008228,0.00590138136,0.000608,0.000321234655
367,300,63900.0,213.0,2025-09-27,9,2025,0.001333,0.000875842176,6.1e-05,3.8012767e-05
370,3000,696000.0,232.0,2025-03-11,3,2025,0.008612,0.006778673864,0.000608,0.000414035777
370,100,29900.0,299.0,2025-12-04,12,2025,0.000131,0.000104058508,2e-05,1.7786882e-05
384,1400,471100.0,336.5,2025-06-15,6,2025,0.005884,0.006419187523,0.000284,0.000280247492
172,200,161000.0,805.0,2025-01-06,1,2025,0.000259,0.000722122862,4.1e-05,9.5775517e-05
417,500,114500.0,229.0,2025-02-26,2,2025,0.002149,0.001380269737,0.000101,6.8113644e-05
117,150,73200.0,488.0,2025-07-21,7,2025,0.00029,0.00039833819,3e-05,4.3545142e-05
427,15000,7875000.0,525.0,2025-08-08,8,2025,0.04902,0.069338327452,0.003042,0.004684672047
35,500,275000.0,550.0,2024-12-29,12,2024,0.000957,0.001732577048,0.000957,0.001732577048
35,900,499500.0,555.0,2025-01-11,1,2025,0.001167,0.002240374966,0.000183,0.000297142056
35,600,347400.0,579.0,2025-09-02,9,2025,0.002666,0.004761620843,0.000122,0.000206660961
273,8000,2488000.0,311.0,2025-01-12,1,2025,0.010376,0.011159265094,0.001622,0.001480058927
273,7000,2247000.0,321.0,2025-01-25,1,2025,0.009079,0.010078323419,0.001419,0.001336693091
277,10000,1585000.0,158.5,2025-01-02,1,2025,0.01297,0.007109097739,0.002028,0.000942883199
277,10000,1840000.0,184.0,2025-08-30,8,2025,0.03268,0.01620095524,0.002028,0.001094577342
277,8000,1360000.0,170.0,2025-12-04,12,2025,0.010466,0.004733096017,0.001622,0.000809035427
168,900,334800.0,372.0,2025-08-07,8,2025,0.002941,0.002947869464,0.000183,0.000199165486
168,1800,680400.0,378.0,2025-10-10,10,2025,0.004123,0.004325969838,0.000365,0.000404755665
168,500,174500.0,349.0,2025-12-10,12,2025,0.000654,0.000607297982,0.000101,0.000103806384
169,3000,1113000.0,371.0,2025-09-28,9,2025,0.01333,0.015255279211,0.000608,0.000662100316
169,4500,1744500.0015,387.666667,2025-11-22,11,2025,0.010744,0.009214805604,0.000913,0.001037766399
156,50,27450.0,549.0,2025-04-22,4,2025,0.000137,0.000299986886,1e-05,1.6329428e-05
506,100,49900.0,499.0,2024-12-30,12,2024,0.000191,0.000314383981,0.000191,0.000314383981
506,300,150000.0,500.0,2025-08-22,8,2025,0.00098,0.001320730047,6.1e-05,8.9231849e-05
506,900,444899.9997,494.333333,2025-08-26,8,2025,0.002941,0.003917285316,0.000183,0.000264661663
463,3000,1672500.0,557.5,2025-06-09,6,2025,0.012608,0.022789410171,0.000608,0.000994935111
340,4000,792000.0,198.0,2025-01-14,1,2025,0.005188,0.003552306252,0.000811,0.00047114416
462,700,379400.0,542.0,2025-10-26,10,2025,0.001603,0.002412217749,0.000142,0.000225697089
393,1500,307500.0,205.0,2025-04-19,4,2025,0.004114,0.00336050883,0.000304,0.000182925289
393,3000,639000.0,213.0,2025-07-27,7,2025,0.005794,0.003477296492,0.000608,0.000380127675
393,1500,307500.0,205.0,2025-07-31,7,2025,0.002897,0.001673346903,0.000304,0.000182925289
395,900,182700.0,203.0,2025-03-18,3,2025,0.002584,0.001779401889,0.000183,0.000108684392
395,1800,369000.0,205.0,2025-03-25,3,2025,0.005167,0.003593865885,0.000365,0.000219510347
395,1400,263900.0,188.5,2025-04-13,4,2025,0.00384,0.002884026928,0.000284,0.000156988566
370,900,236700.0,263.0,2025-08-14,8,2025,0.002941,0.002084112014,0.000183,0.000140807857
370,900,229500.0,255.0,2025-08-17,8,2025,0.002941,0.002020716971,0.000183,0.000136524728
370,1800,465300.0,258.5,2025-08-26,8,2025,0.005882,0.004096904605,0.000365,0.000276797194
394,200,35800.0,179.0,2025-02-04,2,2025,0.00086,0.00043156032,4.1e-05,2.1296668e-05
394,200,35600.0,178.0,2025-04-19,4,2025,0.000549,0.00038905403,4.1e-05,2.1177692e-05
369,200,45700.0,228.5,2025-01-07,1,2025,0.000259,0.000204975247,4.1e-05,2.718597e-05
369,50,12250.0,245.0,2025-05-29,5,2025,0.000162,0.000118579696,1e-05,7.287268e-06
383,1500,556000.0005,370.666667,2025-04-30,4,2025,0.004114,0.00607623711,0.000304,0.000330752719
383,500,187500.0,375.0,2025-11-28,11,2025,0.001194,0.000990413327,0.000101,0.000111539811
384,2700,899100.0,333.0,2025-05-21,5,2025,0.008761,0.008703265685,0.000548,0.0005348557
384,700,231000.0,330.0,2025-06-24,6,2025,0.002942,0.003147595665,0.000142,0.000137417047
384,1400,467600.0,334.0,2025-06-26,6,2025,0.005884,0.006371496679,0.000284,0.000278165416
521,150,52500.0,350.0,2025-06-17,6,2025,0.00063,0.000715362651,3e-05,3.1231147e-05
353,3000,1047000.0,349.0,2025-07-12,7,2025,0.005794,0.005697542139,0.000608,0.000622838303
353,1500,508500.0,339.0,2025-10-07,10,2025,0.003436,0.003233033014,0.000304,0.000302495966
663,3000,4200000.0,1400.0,2025-10-09,10,2025,0.006871,0.026703517521,0.000608,0.002498491759
627,7000,3633000.0,519.0,2025-12-02,12,2025,0.009158,0.012643630758,0.001419,0.002161195371
627,7000,3696000.0,528.0,2025-12-03,12,2025,0.009158,0.012862884471,0.001419,0.002198672748
86,50,19950.0,399.0,2025-01-08,1,2025,6.5e-05,8.9480442e-05,1e-05,1.1867836e-05
88,300,127500.0,425.0,2025-05-21,5,2025,0.000973,0.001234196836,6.1e-05,7.5847071e-05
88,900,404100.0,449.0,2025-10-01,10,2025,0.002061,0.002569259864,0.000183,0.0002403906
91,200,96200.0,481.0,2025-05-08,5,2025,0.000649,0.000931213612,4.1e-05,5.7227359e-05
81,300,117450.0,391.5,2025-01-31,1,2025,0.000389,0.00052679087,6.1e-05,6.9868537e-05
