product_id,recent_month_sale,price,recent_month_revenue,availability_id,is_fba,is_prime,is_free_shipping,is_new,condition_id,price_range_id
840,0,529.0,0.0,1,0,0,1,1,1.0,5.0
841,0,599.0,0.0,1,0,0,1,1,1.0,5.0
842,0,350.1,0.0,1,0,0,1,1,1.0,4.0
843,0,369.0,0.0,1,0,0,1,1,1.0,4.0
844,0,375.0,0.0,1,0,0,1,1,1.0,4.0
845,0,419.0,0.0,1,0,0,1,1,1.0,4.0
846,0,699.0,0.0,1,0,0,1,1,1.0,5.0
847,50,529.0,26450.0,1,0,0,1,1,1.0,5.0
848,0,389.0,0.0,1,0,0,1,1,1.0,4.0
849,0,429.0,0.0,1,0,0,1,1,1.0,4.0
850,50,1159.99,57999.5,1,1,1,1,1,1.0,6.0
851,100,907.25,90725.0,1,1,1,1,1,1.0,5.0
852,0,899.99,0.0,1,1,1,1,1,1.0,5.0
853,50,0.0,0.0,3,0,1,0,1,,
854,0,1259.99,0.0,1,0,0,1,1,1.0,6.0
855,0,1439.99,0.0,1,0,0,1,1,1.0,6.0
856,0,1199.98,0.0,1,0,0,1,1,1.0,6.0
857,0,369.99,0.0,1,0,0,1,1,1.0,4.0
858,50,268.88,13444.0,1,0,0,1,1,1.0,3.0
859,0,0.0,0.0,2,0,1,0,1,,
860,50,0.0,0.0,2,0,1,0,1,,
861,0,268.88,0.0,1,0,0,1,1,1.0,3.0
862,0,246.88,0.0,1,0,0,1,1,1.0,3.0
863,0,399.99,0.0,1,0,0,1,1,1.0,4.0
864,0,236.88,0.0,1,0,0,1,1,1.0,3.0
865,0,599.99,0.0,1,0,0,1,1,1.0,5.0
866,50,549.99,27499.5,1,0,1,1,1,1.0,5.0
867,0,529.99,0.0,1,0,0,1,1,1.0,5.0
868,0,459.99,0.0,1,0,1,1,1,1.0,4.0
869,0,1659.0,0.0,1,0,0,1,1,1.0,6.0
870,0,1539.99,0.0,1,0,0,1,1,1.0,6.0
871,0,1749.0,0.0,1,0,0,1,1,1.0,6.0
872,0,0.0,0.0,2,0,1,0,1,,
873,0,659.99,0.0,1,0,0,1,1,1.0,5.0
874,0,699.99,0.0,1,0,0,1,1,1.0,5.0
875,0,1199.0,0.0,1,0,0,1,1,1.0,6.0
876,0,797.05,0.0,1,0,1,1,1,1.0,5.0
877,0,1299.0,0.0,1,0,0,1,1,1.0,6.0
878,100,499.99,49999.0,1,0,0,1,1,1.0,4.0
879,0,999.0,0.0,1,0,0,1,1,1.0,5.0
880,0,359.0,0.0,1,0,0,1,1,1.0,4.0
881,0,0.0,0.0,2,0,1,0,1,,
882,0,429.99,0.0,1,1,1,1,1,1.0,4.0
883,0,649.99,0.0,1,0,0,1,1,1.0,5.0
884,0,589.99,0.0,1,1,1,1,1,1.0,5.0
885,0,499.99,0.0,1,0,0,1,0,8.0,4.0
886,0,959.98,0.0,1,0,0,1,1,1.0,5.0
887,50,989.98,49499.0,1,0,0,1,1,1.0,5.0
888,50,1069.98,53499.0,1,0,0,1,1,1.0,6.0
889,0,599.99,0.0,1,0,0,1,1,1.0,5.0
890,0,0.0,0.0,3,0,1,0,1,,
891,0,649.99,0.0,1,0,0,1,1,1.0,5.0
892,0,0.0,0.0,3,0,1,0,1,,
893,50,739.99,36999.5,1,0,0,1,1,1.0,5.0
894,0,2199.99,0.0,1,0,0,1,1,1.0,6.0
895,0,2088.99,0.0,1,0,0,1,1,1.0,6.0
896,0,0.0,0.0,2,0,1,0,1,,
897,50,379.0,18950.0,1,0,0,1,1,1.0,4.0
898,100,0.0,0.0,2,0,1,0,1,,
899,0,1349.99,0.0,1,0,0,1,1,1.0,6.0
900,0,1699.99,0.0,1,0,0,1,1,1.0,6.0
901,0,1499.99,0.0,1,0,0,1,1,1.0,6.0
902,50,180.0,9000.0,1,0,0,1,0,8.0,2.0
903,0,482.97,0.0,1,0,0,1,1,1.0,4.0
904,0,0.0,0.0,3,0,1,0,1,,
905,0,1399.0,0.0,1,0,0,1,1,1.0,6.0
906,0,1139.0,0.0,1,0,1,1,1,1.0,6.0
907,0,0.0,0.0,3,0,1,0,1,,
908,0,0.0,0.0,2,0,1,0,1,,
909,0,479.99,0.0,1,0,0,1,1,1.0,4.0
910,0,499.0,0.0,1,0,0,1,1,1.0,4.0
911,0,1549.0,0.0,1,0,0,1,1,1.0,6.0
912,0,0.0,0.0,2,0,1,0,1,,
913,0,629.99,0.0,1,0,0,1,1,1.0,5.0
914,0,899.99,0.0,1,0,0,1,1,1.0,5.0
915,0,699.99,0.0,1,0,0,1,1,1.0,5.0
916,0,799.99,0.0,1,0,0,1,1,1.0,5.0
917,0,0.0,0.0,2,0,1,0,1,,
918,50,0.0,0.0,2,0,1,0,1,,
919,50,899.99,44999.5,1,1,1,1,1,1.0,5.0
920,0,0.0,0.0,2,0,1,0,1,,
921,0,0.0,0.0,2,0,1,0,1,,
922,0,659.99,0.0,1,0,0,1,1,1.0,5.0
923,0,959.99,0.0,1,0,0,1,1,1.0,5.0
924,0,759.99,0.0,1,0,0,1,1,1.0,5.0
925,50,639.99,31999.5,1,0,0,1,1,1.0,5.0
926,0,899.99,0.0,1,0,0,1,1,1.0,5.0
927,0,569.99,0.0,1,0,0,1,0,8.0,5.0
928,500,1449.0,724500.0,1,1,1,1,1,1.0,6.0
929,500,1692.0,846000.0,1,1,1,1,1,1.0,6.0
930,1000,1449.0,1449000.0,1,1,1,1,1,1.0,6.0
931,1000,1849.0,1849000.0,1,1,1,1,1,1.0,6.0
932,500,1825.0,912500.0,1,1,1,1,1,1.0,6.0
933,100,1729.0,172900.0,1,0,0,1,1,1.0,6.0
934,0,729.99,0.0,1,0,0,1,1,1.0,5.0
935,0,869.99,0.0,1,0,0,1,1,1.0,5.0
936,0,1099.99,0.0,1,0,0,1,1,1.0,6.0
937,0,0.0,0.0,3,0,1,0,1,,
